City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
317,Saint-Georges,GD,12.0564,-61.7485,79.54,67,33,14.65,scattered clouds
318,Luza,RU,60.6308,47.2512,-1.57,100,86,3.71,overcast clouds
319,San Policarpo,PH,12.1791,125.5072,78.64,80,99,12.57,overcast clouds
320,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,90.27,18,5,11.72,clear sky
321,North Myrtle Beach,US,33.816,-78.68,58.01,71,20,8.05,few clouds
322,Koygorodok,RU,60.445,50.9968,-0.35,100,100,2.51,overcast clouds
323,Lgov,RU,51.6307,35.2775,22.95,91,32,7.16,scattered clouds
324,Ballina,AU,-28.8667,153.5667,64.78,98,84,7.9,broken clouds
325,Port Lincoln,AU,-34.7333,135.8667,65.95,85,92,9.98,overcast clouds
326,Otane,NZ,-39.8833,176.6333,58.01,79,85,8.95,overcast clouds
327,Visnes,NO,59.3556,5.2242,43.57,93,100,8.05,light rain
328,Saint Anthony,US,45.0205,-93.218,9.79,52,0,11.5,clear sky
329,Barcelos,PT,41.5388,-8.6151,50.92,87,30,9.35,light rain
330,Souillac,MU,-20.5167,57.5167,81.36,89,40,8.05,light rain
331,Pasni,PK,25.2631,63.471,70.75,70,56,9.08,broken clouds
332,Itoman,JP,26.1247,127.6694,64.42,94,75,24.16,light rain
333,Paka,MY,4.6374,103.4368,76.93,94,31,1.14,scattered clouds
334,Sulangan,PH,11.1373,123.7228,79.11,82,100,10.58,overcast clouds
335,Kungurtug,RU,50.5994,97.5228,-20.87,97,100,1.81,overcast clouds
336,Along,IN,28.1667,94.7667,44.15,63,0,2.01,clear sky
337,Vilhena,BR,-12.7406,-60.1458,73.62,88,75,5.75,moderate rain
338,Mount Isa,AU,-20.7333,139.5,73.17,94,33,0.0,scattered clouds
339,Hopkinsville,US,36.8656,-87.4886,38.88,49,0,3.0,clear sky
340,Dieppe,FR,49.75,1.1667,52.32,77,100,10.0,overcast clouds
